birth year,year,ranking,order,age,belgium,ussr,usa,female,critics,bll,gccd,presen
1928,1952,1,3,24,0,0,1,0,41,22,17,3
1923,1952,2,8,29,0,0,0,0,28,60,21,3
1931,1952,3,9,21,0,0,0,1,29,21,10,3
1929,1952,4,12,23,1,0,0,0,12,1,0,1
1929,1952,5,6,23,0,0,0,0,0,0,0,0
1926,1952,6,2,26,0,0,1,0,4,5,3,3
1926,1952,7,10,26,0,0,1,0,6,1,0,1
1923,1952,8,11,29,0,0,0,0,26,14,1,2
1928,1952,9,5,24,0,0,0,0,0,0,0,0
1934,1952,10,4,18,0,0,0,0,31,55,24,3
1928,1952,11,1,24,0,0,0,0,21,0,0,0
1932,1952,12,7,20,1,0,0,1,8,0,0,0
1937,1956,1,9,19,0,1,0,0,48,224,209,3
1933,1956,2,6,23,0,0,1,0,26,11,8,3
1935,1956,3,7,21,0,0,0,0,9,0,0,0
1936,1956,4,10,20,0,0,0,1,23,26,18,3
1930,1956,5,4,26,0,1,0,0,41,39,15,3
1933,1956,6,3,23,0,0,0,0,28,31,33,3
1929,1956,7,5,27,0,0,0,0,2,1,1,2
1936,1956,8,2,20,1,0,0,0,13,6,0,1
1926,1956,9,1,30,0,0,0,0,0,0,0,0
1935,1956,10,12,21,0,0,0,1,0,0,0,0
1928,1956,11,11,28,0,0,0,0,21,0,0,0
1935,1956,12,8,21,0,0,0,0,24,12,18,3
1935,1960,1,5,25,0,0,1,0,37,23,13,3
1933,1960,2,10,27,0,0,0,0,6,1,1,2
1937,1960,3,2,23,0,0,1,0,2,2,7,3
1941,1960,4,4,19,0,1,0,1,2,0,0,0
1930,1960,5,7,30,0,0,0,0,19,3,0,1
1936,1960,6,6,24,0,0,1,1,1,0,0,0
1931,1960,7,12,29,0,0,0,0,3,1,0,1
1933,1960,8,8,27,0,1,0,0,3,0,0,0
1932,1960,9,9,28,0,0,1,0,11,2,7,3
1934,1960,10,3,26,0,0,1,0,20,8,3,2
1937,1960,11,1,23,0,0,0,0,3,0,0,0
1931,1960,12,11,29,0,0,1,0,0,0,0,0
1945,1964,1,4,19,0,1,0,0,33,8,5,3
1943,1964,2,10,21,0,1,0,0,15,15,16,3
1947,1964,3,2,17,1,0,0,0,24,44,2,2
1935,1964,4,12,29,0,0,1,0,6,6,5,3
1934,1964,5,8,30,0,0,1,0,1,0,0,0
1937,1964,6,6,27,0,0,1,0,18,33,21,3
1938,1964,7,7,26,0,1,0,0,1,0,0,0
1942,1964,8,11,22,0,0,0,1,1,0,0,0
1940,1964,9,1,24,0,0,0,1,12,6,2,2
1937,1964,10,3,27,0,0,0,1,1,0,0,0
1936,1964,11,5,28,0,0,1,0,3,1,3,3
1944,1964,12,9,20,0,0,0,0,6,0,0,0
1951,1968,1,9,17,0,1,0,1,19,4,0,1
1943,1968,2,2,25,0,1,0,0,3,2,1,2
1942,1968,3,11,26,0,0,1,0,16,0,0,0
1947,1968,4,8,21,0,1,0,0,1,0,0,0
1940,1968,5,6,28,1,0,0,0,16,27,0,1
1943,1968,6,12,25,0,0,1,0,28,17,8,3
1941,1968,7,1,27,0,0,1,0,9,3,1,2
1946,1968,8,5,22,0,0,0,1,4,2,2,2
1945,1968,9,4,23,0,1,0,1,40,28,21,3
1948,1968,10,3,20,0,0,0,1,26,33,33,3
1952,1968,11,7,16,0,0,0,0,36,48,25,3
1948,1968,12,10,20,0,0,0,0,0,0,0,0
1947,1972,1,7,25,0,1,0,0,36,17,16,3
1951,1972,2,10,21,0,0,1,0,19,18,10,3
1949,1972,3,12,23,0,0,1,0,24,9,0,1
1953,1972,4,8,19,0,0,1,0,31,13,10,3
1946,1972,5,1,26,0,1,0,1,2,0,0,0
1946,1972,6,6,26,0,0,0,1,0,1,1,2
1949,1972,7,2,23,0,0,1,0,39,44,32,3
1943,1972,8,11,29,0,0,1,0,14,7,7,3
1951,1972,9,5,21,0,0,0,0,31,49,29,3
1945,1972,10,9,27,0,0,1,0,1,0,0,0
1946,1972,11,3,26,0,0,0,1,4,0,0,0
1950,1972,12,4,22,0,0,0,1,0,3,1,2
1955,1975,1,12,20,0,1,0,0,24,3,0,1
1953,1975,2,11,22,0,1,0,0,22,2,0,1
1954,1975,3,4,21,0,1,0,0,39,21,6,3
1944,1975,4,8,31,0,0,1,0,9,1,0,1
1953,1975,5,7,22,0,1,0,0,1,1,0,1
1950,1975,6,10,25,0,0,0,0,16,11,4,3
1954,1975,7,3,21,0,1,0,0,16,2,0,1
1954,1975,8,6,21,1,0,0,1,15,3,0,1
1952,1975,9,5,23,0,0,0,1,5,4,0,1
1952,1975,10,1,23,0,0,0,0,0,1,1,2
1953,1975,11,9,22,1,0,0,1,18,24,3,3
1945,1975,12,2,30,0,0,0,1,9,19,18,3
1959,1978,1,6,19,0,0,0,0,35,20,24,3
1949,1978,2,3,29,0,0,1,0,10,0,2,2
1952,1978,3,4,26,0,0,0,1,36,16,15,3
