Land-Ocean: Northern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.34,-.50,-.23,-.29,-.05,-.15,-.17,-.25,-.22,-.30,-.42,-.39,-.28,***,***,-.19,-.19,-.31
1881,-.30,-.21,-.03,.01,.04,-.32,.09,-.03,-.25,-.42,-.35,-.22,-.16,-.18,-.30,.01,-.08,-.34
1882,.28,.23,.03,-.30,-.24,-.28,-.26,-.13,-.23,-.51,-.31,-.67,-.20,-.16,.10,-.17,-.22,-.35
1883,-.56,-.64,-.14,-.29,-.24,-.10,-.04,-.21,-.32,-.15,-.44,-.14,-.27,-.32,-.62,-.23,-.12,-.30
1884,-.16,-.11,-.63,-.59,-.36,-.40,-.44,-.49,-.44,-.43,-.55,-.46,-.42,-.40,-.14,-.53,-.44,-.47
1885,-.99,-.43,-.21,-.47,-.56,-.42,-.31,-.37,-.36,-.33,-.35,-.08,-.41,-.44,-.63,-.41,-.37,-.35
1886,-.71,-.80,-.69,-.34,-.30,-.34,-.11,-.40,-.30,-.28,-.37,-.18,-.40,-.39,-.53,-.44,-.29,-.32
1887,-1.05,-.67,-.41,-.35,-.22,-.18,-.21,-.51,-.18,-.46,-.24,-.41,-.41,-.39,-.64,-.33,-.30,-.29
1888,-.46,-.57,-.60,-.18,-.13,.00,.03,-.18,-.17,.00,.03,-.22,-.20,-.22,-.48,-.30,-.05,-.05
1889,-.25,.33,.00,.18,-.01,-.05,-.06,-.18,-.28,-.39,-.60,-.53,-.15,-.13,-.05,.06,-.09,-.42
1890,-.62,-.58,-.46,-.22,-.34,-.14,-.21,-.37,-.33,-.08,-.62,-.44,-.37,-.37,-.58,-.34,-.24,-.34
1891,-.44,-.67,-.14,-.33,-.13,-.10,-.10,-.11,-.06,-.26,-.51,-.02,-.24,-.27,-.52,-.20,-.10,-.28
1892,-.47,-.13,-.65,-.43,-.22,-.04,-.36,-.31,-.17,-.26,-.80,-.64,-.37,-.32,-.21,-.43,-.23,-.41
1893,-1.49,-.94,-.30,-.28,-.43,-.18,-.13,-.32,-.27,-.27,-.33,-.61,-.46,-.46,-1.02,-.33,-.21,-.29
1894,-.89,-.40,-.19,-.52,-.24,-.39,-.19,-.25,-.31,-.25,-.46,-.33,-.37,-.39,-.63,-.32,-.27,-.34
1895,-.67,-.78,-.47,-.16,-.28,-.18,-.16,-.25,-.03,-.06,-.10,-.20,-.28,-.29,-.59,-.30,-.19,-.07
1896,-.33,-.16,-.47,-.58,-.15,.10,.02,-.09,-.11,.08,-.18,-.19,-.17,-.17,-.23,-.40,.01,-.07
1897,-.37,-.39,-.37,-.03,.16,-.04,.06,-.05,-.04,-.12,-.24,-.26,-.14,-.14,-.32,-.08,-.01,-.13
1898,.09,-.41,-.76,-.25,-.24,-.05,-.09,-.13,-.14,-.34,-.48,-.24,-.25,-.25,-.19,-.42,-.09,-.32
1899,-.11,-.63,-.57,-.22,-.23,-.34,-.15,-.04,-.03,.06,.38,-.44,-.19,-.18,-.33,-.34,-.17,.14
1900,-.59,-.11,.08,-.08,-.01,-.07,-.09,-.06,.00,.26,-.10,.00,-.06,-.10,-.38,.00,-.08,.05
1901,-.32,-.08,.29,.13,-.10,.03,.03,-.14,-.25,-.29,-.20,-.39,-.11,-.08,-.13,.11,-.03,-.25
1902,-.16,.02,-.39,-.38,-.38,-.36,-.32,-.27,-.33,-.29,-.45,-.59,-.32,-.31,-.18,-.38,-.32,-.35
1903,-.21,.12,-.14,-.45,-.42,-.44,-.43,-.54,-.48,-.48,-.41,-.56,-.37,-.37,-.23,-.34,-.47,-.46
1904,-.77,-.59,-.39,-.49,-.42,-.47,-.58,-.52,-.62,-.37,-.07,-.33,-.47,-.49,-.64,-.44,-.52,-.36
1905,-.40,-.81,-.22,-.44,-.28,-.26,-.21,-.22,-.18,-.25,.10,-.16,-.28,-.29,-.51,-.31,-.23,-.11
1906,-.55,-.52,-.19,.05,-.23,-.11,-.25,-.16,-.23,-.17,-.39,.04,-.23,-.24,-.41,-.12,-.17,-.26
1907,-.58,-.72,-.30,-.45,-.57,-.50,-.39,-.37,-.39,-.18,-.55,-.57,-.46,-.41,-.42,-.44,-.42,-.38
1908,-.54,-.27,-.69,-.48,-.29,-.29,-.35,-.56,-.31,-.45,-.62,-.55,-.45,-.45,-.46,-.48,-.40,-.46
1909,-.92,-.45,-.66,-.65,-.48,-.50,-.44,-.34,-.37,-.33,-.10,-.57,-.48,-.48,-.64,-.59,-.43,-.27
1910,-.34,-.39,-.49,-.40,-.30,-.45,-.38,-.40,-.42,-.31,-.58,-.81,-.44,-.42,-.43,-.40,-.41,-.44
1911,-.71,-.60,-.65,-.46,-.45,-.33,-.36,-.43,-.38,-.19,-.19,-.29,-.42,-.46,-.71,-.52,-.37,-.25
1912,-.35,-.16,-.60,-.16,-.12,-.13,-.51,-.77,-.81,-.85,-.50,-.57,-.46,-.44,-.27,-.29,-.47,-.72
1913,-.56,-.64,-.48,-.50,-.54,-.49,-.51,-.46,-.42,-.39,-.14,.11,-.42,-.47,-.59,-.51,-.48,-.32
1914,.17,-.11,-.35,-.39,-.19,-.23,-.34,-.26,-.30,.00,-.21,-.04,-.19,-.17,.06,-.31,-.28,-.17
1915,-.26,-.09,-.24,.07,-.01,-.12,-.09,-.16,-.21,-.27,-.03,-.25,-.14,-.12,-.13,-.06,-.12,-.17
1916,-.09,-.16,-.38,-.34,-.36,-.50,-.34,-.37,-.49,-.35,-.47,-1.14,-.42,-.34,-.17,-.36,-.40,-.44
1917,-.54,-.69,-.75,-.64,-.73,-.49,-.32,-.40,-.31,-.62,-.31,-1.05,-.57,-.58,-.79,-.71,-.41,-.42
1918,-.69,-.46,-.25,-.59,-.49,-.45,-.34,-.37,-.26,-.04,-.22,-.56,-.39,-.43,-.73,-.45,-.38,-.17
1919,-.38,-.42,-.38,-.24,-.43,-.39,-.33,-.30,-.19,-.08,-.47,-.55,-.35,-.35,-.45,-.35,-.34,-.25
1920,-.15,-.30,.00,-.21,-.21,-.25,-.25,-.32,-.35,-.40,-.45,-.72,-.30,-.29,-.33,-.14,-.27,-.40
1921,.19,-.09,-.12,-.17,-.25,-.15,-.03,-.29,-.17,.00,-.09,-.13,-.11,-.16,-.21,-.18,-.16,-.09
