Date,GOOG,APPL
2014-02-21,598.005554,75.035713
2014-02-24,602.337402,75.364288
2014-02-25,606.058167,74.580002
2014-02-26,606.142639,73.907143
2014-02-27,605.66571,75.381432
2014-02-28,603.897217,75.177139
2014-03-03,597.459106,75.394287
2014-03-04,603.529602,75.891426
2014-03-05,605.193787,76.05143
2014-03-06,605.864441,75.821426
2014-03-07,603.470032,75.777145
2014-03-10,601.870422,75.845711
2014-03-11,596.117798,76.584282
2014-03-12,599.749207,76.658569
2014-03-13,590.688171,75.807144
2014-03-14,582.610657,74.955711
2014-03-17,592.198303,75.248573
2014-03-18,601.716431,75.914284
2014-03-19,595.750244,75.894287
2014-03-20,594.711975,75.528572
2014-03-21,587.697571,76.124283
2014-03-24,575.223694,77.027145
2014-03-25,575.61615,77.855713
2014-03-26,562.327576,77.111427
2014-03-27,555.406067,76.779999
2014-03-28,556.927734,76.694283
2014-03-31,553.924255,76.677139
2014-04-01,564.058533,77.378571
2014-04-02,563.899353,77.507141
2014-04-03,566.62439,76.970001
2014-04-04,540.169861,75.974289
2014-04-07,535.207153,74.781425
2014-04-08,551.86554,74.777145
2014-04-09,561.054993,75.760002
2014-04-10,537.991821,74.78286
2014-04-11,527.698425,74.230003
2014-04-14,529.60791,74.525711
2014-04-15,533.50647,73.994286
2014-04-16,553.496582,74.144287
2014-04-17,533.168335,74.991432
2014-04-21,525.729248,75.881432
2014-04-22,531.885437,75.957146
2014-04-23,524.058472,74.964287
2014-04-24,522.288208,81.110001
2014-04-25,513.3573,81.705711
2014-04-28,514.32196,84.870003
2014-04-29,524.81427,84.618568
2014-04-30,523.779968,84.298569
2014-05-01,528.444336,84.497147
2014-05-02,525.04303,84.654289
2014-05-05,524.923706,85.851425
2014-05-06,512.322998,84.915718
2014-05-07,507.171295,84.618568
2014-05-08,508.205627,83.998573
2014-05-09,515.893311,83.648575
2014-05-12,527.022156,84.690002
2014-05-13,530.174805,84.822861
2014-05-14,523.77002,84.83857
2014-05-15,517.136536,84.117142
2014-05-16,517.782959,85.358574
2014-05-19,525.967957,86.370003
2014-05-20,526.872986,86.387146
2014-05-21,535.992798,86.615715
2014-05-22,542.079346,86.752853
2014-05-23,549.677551,87.732857
2014-05-27,562.855103,89.375717
2014-05-28,558.608459,89.144287
2014-05-29,557.017212,90.76857
