Session,Month,Range,Round,ID_self,ID_partner,Signal,Bid
1,D,10,1,1,10,8.97,4
1,D,10,1,2,3,6.27,3
1,D,10,1,3,2,2.06,2
1,D,10,1,4,7,0.39,0.6
1,D,10,1,5,9,3.15,1.02
1,D,10,1,6,8,0.58,1
1,D,10,1,7,4,2.24,2
1,D,10,1,8,6,5.78,3
1,D,10,1,9,5,1.91,1.03
1,D,10,1,10,1,1.73,3
2,D,10,1,1,2,8.75,6
2,D,10,1,2,1,3.98,5
2,D,10,1,3,6,4.58,3.08
2,D,10,1,4,8,3.51,3.6
2,D,10,1,5,10,5.35,2.5
2,D,10,1,6,3,3.36,5
2,D,10,1,7,9,0.21,5
2,D,10,1,8,4,5.6,3
2,D,10,1,9,7,4.82,4.26
2,D,10,1,10,5,6.22,7.22
2,D,5,1,1,10,0.91,1
2,D,5,1,2,7,0.76,1
2,D,5,1,3,6,3.43,2.51
2,D,5,1,4,9,4.16,3.91
2,D,5,1,5,8,2.04,1.5
2,D,5,1,6,3,4.66,1.01
2,D,5,1,7,2,0.63,1.51
2,D,5,1,8,5,2.84,1.45
2,D,5,1,9,4,3.96,2
2,D,5,1,10,1,0.68,2.56
3,D,10,1,1,6,1.97,3
3,D,10,1,2,3,2.7,3
3,D,10,1,3,2,5.61,4
3,D,10,1,4,5,6.72,5
3,D,10,1,5,4,0.57,0.57
3,D,10,1,6,1,5.87,2
3,D,10,1,7,8,0.03,4
3,D,10,1,8,7,1.18,2.57
3,D,5,1,1,6,1.79,1.5
3,D,5,1,2,4,1.41,2
3,D,5,1,3,8,0.09,0.09
3,D,5,1,4,2,3.47,2.01
3,D,5,1,5,7,4.09,1.5
3,D,5,1,6,1,4.96,2.75
3,D,5,1,7,5,0.38,0.5
3,D,5,1,8,3,1.69,2.01
4,D,10,1,1,8,1.55,3.55
4,D,10,1,2,7,8.66,8
4,D,10,1,3,10,7.85,3.5
4,D,10,1,4,5,8.3,8
4,D,10,1,5,4,9.1,4
4,D,10,1,6,9,2.12,3
4,D,10,1,7,2,5.5,4
4,D,10,1,8,1,4.25,2
4,D,10,1,9,6,1.87,1
4,D,10,1,10,3,7.01,5
4,D,5,1,1,6,2.41,1.51
4,D,5,1,2,7,1.82,2
4,D,5,1,3,10,3,1.15
4,D,5,1,4,8,2.87,2
4,D,5,1,5,9,4.86,1.5
