id,ad,education,ofjobs,yearsexp,honors,volunteer,military,empholes,occupspecific,occupbroad,workinschool,email,computerskills,specialskills,firstname,sex,race,h,l,call,city,kind,adid,fracblack,fracwhite,lmedhhinc,fracdropout,fraccolp,linc,col,expminreq,schoolreq,eoe,parent_sales,parent_emp,branch_sales,branch_emp,fed,fracblack_empzip,fracwhite_empzip,lmedhhinc_empzip,fracdropout_empzip,fraccolp_empzip,linc_empzip,manager,supervisor,secretary,offsupport,salesrep,retailsales,req,expreq,comreq,educreq,compreq,orgreq,manuf,transcom,bankreal,trade,busservice,othservice,missind,ownership
b,1,4,2,6,0,0,0,1,17,1,0,0,1,0,Allison,f,w,0,1,0,c,a,384,0.9893595576286316,0.005500220227986574,9.527483940124512,0.2741509675979614,0.03766150772571564,8.706324577331543,1,5,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,
b,1,3,3,6,0,1,1,0,316,6,1,1,1,0,Kristen,f,w,1,0,0,c,a,384,0.08073566854000092,0.888373851776123,10.408827781677246,0.23368677496910095,0.0872853547334671,9.532858848571777,0,5,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,
b,1,4,1,6,0,0,0,0,19,1,1,0,1,0,Lakisha,f,b,0,1,0,c,a,384,0.10430054366588593,0.8373702168464661,10.466753959655762,0.10133465379476547,0.5916954874992371,10.540328979492188,1,5,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,
b,1,3,4,6,0,1,0,1,313,5,0,1,1,1,Latonya,f,b,1,0,0,c,a,384,0.33616510033607483,0.6373696327209473,10.431907653808594,0.10884786397218704,0.40657591819763184,10.412140846252441,0,5,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,
b,1,3,3,22,0,0,0,0,313,5,1,1,1,0,Carrie,f,w,1,0,0,c,a,385,0.3975946605205536,0.18019559979438782,9.876218795776367,0.3128727674484253,0.030846862122416496,8.728263854980469,0,some,,1,9.399999618530273,143,9.399999618530273,143,0,0.2047635018825531,0.7270459532737732,10.619399070739746,0.07049313932657242,0.3699030876159668,10.007351875305176,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,Nonprofit
b,1,4,2,6,1,0,0,0,266,4,0,0,0,1,Jay,m,w,0,1,0,c,s,386,0.33616510033607483,0.6373696327209473,10.431907653808594,0.10884786397218704,0.40657591819763184,10.412140846252441,1,,,1,40,135,40,135,0,0.00814145803451538,0.9734130501747131,11.137955665588379,0.04795827344059944,0.41330620646476746,10.393722534179688,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Private
b,1,4,2,5,0,1,0,0,13,1,1,1,1,1,Jill,f,w,1,0,0,c,s,386,0.002795683452859521,0.952140212059021,10.453600883483887,0.23644527792930603,0.12498008459806442,9.621058464050293,1,,,1,40,135,40,135,0,0.00814145803451538,0.9734130501747131,11.137955665588379,0.04795827344059944,0.41330620646476746,10.393722534179688,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Private
b,1,3,4,21,0,1,0,1,313,5,0,1,1,1,Kenya,f,b,1,0,0,c,a,385,0.1166238933801651,0.7283392548561096,10.287047386169434,0.13984276354312897,0.36563608050346375,9.933725357055664,0,some,,1,9.399999618530273,143,9.399999618530273,143,0,0.2047635018825531,0.7270459532737732,10.619399070739746,0.07049313932657242,0.3699030876159668,10.007351875305176,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,Nonprofit
b,1,4,3,3,0,0,0,0,316,6,0,0,1,1,Latonya,f,b,0,1,0,c,s,386,0.08073566854000092,0.888373851776123,10.408827781677246,0.23368677496910095,0.0872853547334671,9.532858848571777,1,,,1,40,135,40,135,0,0.00814145803451538,0.9734130501747131,11.137955665588379,0.04795827344059944,0.41330620646476746,10.393722534179688,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Private
b,1,4,2,6,0,1,0,0,263,4,1,1,0,1,Tyrone,m,b,1,0,0,c,s,386,0.9920427203178406,0.00481428811326623,8.841737747192383,0.2950934171676636,0.05318167060613632,8.507345199584961,1,,,1,40,135,40,135,0,0.00814145803451538,0.9734130501747131,11.137955665588379,0.04795827344059944,0.41330620646476746,10.393722534179688,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Private
