state,year,county,tract,tested,BLL_geq_5,BLL_geq_10
MD,2005,Allegany,NA,200,31,5
MD,2005,Allegany,240010001.00,32,2,0
MD,2005,Allegany,240010002.00,37,4,0
MD,2005,Allegany,240010003.00,35,6,2
MD,2005,Allegany,240010004.00,46,7,2
MD,2005,Allegany,240010005.00,38,15,3
MD,2005,Allegany,240010006.00,50,12,5
MD,2005,Allegany,240010007.00,62,15,4
MD,2005,Allegany,240010008.00,40,7,1
MD,2005,Allegany,240010010.00,31,5,2
MD,2005,Allegany,240010011.00,22,4,2
MD,2005,Allegany,240010012.00,40,6,0
MD,2005,Allegany,240010013.00,24,2,0
MD,2005,Allegany,240010014.01,46,5,0
MD,2005,Allegany,240010014.02,23,3,0
MD,2005,Allegany,240010015.02,12,1,0
MD,2005,Allegany,240010015.03,23,5,1
MD,2005,Allegany,240010016.00,15,3,1
MD,2005,Allegany,240010017.00,48,7,1
MD,2005,Allegany,240010018.00,40,4,0
MD,2005,Allegany,240010019.00,28,2,1
MD,2005,Allegany,240010020.00,59,1,0
MD,2005,Allegany,240010021.00,29,3,1
MD,2005,Allegany,240010022.00,57,6,1
MD,2005,Anne Arundel,NA,786,26,2
MD,2005,Anne Arundel,240037011.01,28,0,0
MD,2005,Anne Arundel,240037011.02,73,4,0
MD,2005,Anne Arundel,240037012.00,77,3,0
MD,2005,Anne Arundel,240037013.00,66,0,0
MD,2005,Anne Arundel,240037014.00,32,1,0
MD,2005,Anne Arundel,240037021.00,56,3,0
MD,2005,Anne Arundel,240037022.01,94,1,0
MD,2005,Anne Arundel,240037022.02,207,6,0
MD,2005,Anne Arundel,240037022.03,24,0,0
MD,2005,Anne Arundel,240037023.00,59,2,0
MD,2005,Anne Arundel,240037024.01,26,2,1
MD,2005,Anne Arundel,240037024.02,32,0,0
MD,2005,Anne Arundel,240037025.00,90,4,0
MD,2005,Anne Arundel,240037026.01,63,1,0
MD,2005,Anne Arundel,240037026.02,57,1,0
MD,2005,Anne Arundel,240037027.00,49,0,0
MD,2005,Anne Arundel,240037028.00,1,0,0
MD,2005,Anne Arundel,240037061.01,54,3,0
MD,2005,Anne Arundel,240037063.00,52,1,0
MD,2005,Anne Arundel,240037064.01,87,2,0
MD,2005,Anne Arundel,240037064.02,45,2,0
MD,2005,Anne Arundel,240037065.00,76,6,1
MD,2005,Anne Arundel,240037066.00,90,4,0
MD,2005,Anne Arundel,240037067.00,6,0,0
MD,2005,Anne Arundel,240037070.01,90,4,0
MD,2005,Anne Arundel,240037070.02,30,1,0
MD,2005,Anne Arundel,240037080.00,90,7,0
MD,2005,Anne Arundel,240037301.00,79,3,0
MD,2005,Anne Arundel,240037302.03,84,1,0
MD,2005,Anne Arundel,240037302.04,104,2,0
MD,2005,Anne Arundel,240037303.00,49,3,0
MD,2005,Anne Arundel,240037304.01,64,0,0
MD,2005,Anne Arundel,240037304.02,93,5,1
MD,2005,Anne Arundel,240037305.02,97,2,0
