state,town,zip,year,tested,BLL_geq_5
RI,Barrington,NA,2005,5,1
RI,Barrington,NA,2006,9,2
RI,Barrington,NA,2007,6,4
RI,Barrington,NA,2008,7,0
RI,Barrington,NA,2009,2,0
RI,Barrington,NA,2010,3,0
RI,Barrington,NA,2011,3,0
RI,Barrington,NA,2012,6,0
RI,Barrington,NA,2013,8,0
RI,Barrington,NA,2014,10,0
RI,Barrington,NA,2015,5,0
RI,Barrington,02806,2005,681,41
RI,Barrington,02806,2006,666,56
RI,Barrington,02806,2007,707,37
RI,Barrington,02806,2008,562,35
RI,Barrington,02806,2009,491,83
RI,Barrington,02806,2010,462,19
RI,Barrington,02806,2011,468,12
RI,Barrington,02806,2012,436,12
RI,Barrington,02806,2013,445,11
RI,Barrington,02806,2014,419,7
RI,Barrington,02806,2015,447,6
RI,Bristol,NA,2005,4,0
RI,Bristol,NA,2006,7,0
RI,Bristol,NA,2007,7,0
RI,Bristol,NA,2008,7,2
RI,Bristol,NA,2009,0,0
RI,Bristol,NA,2010,1,0
RI,Bristol,NA,2011,3,0
RI,Bristol,NA,2012,3,0
RI,Bristol,NA,2013,6,0
RI,Bristol,NA,2014,7,2
RI,Bristol,NA,2015,6,0
RI,Bristol,02809,2005,660,90
RI,Bristol,02809,2006,635,92
RI,Bristol,02809,2007,632,59
RI,Bristol,02809,2008,600,73
RI,Bristol,02809,2009,544,107
RI,Bristol,02809,2010,535,34
RI,Bristol,02809,2011,564,31
RI,Bristol,02809,2012,520,21
RI,Bristol,02809,2013,494,21
RI,Bristol,02809,2014,474,17
RI,Bristol,02809,2015,445,12
RI,Burrillville,NA,2005,4,1
RI,Burrillville,NA,2006,6,1
RI,Burrillville,NA,2007,6,1
RI,Burrillville,NA,2008,5,0
RI,Burrillville,NA,2009,7,0
RI,Burrillville,NA,2010,4,0
RI,Burrillville,NA,2011,4,0
RI,Burrillville,NA,2012,7,0
RI,Burrillville,NA,2013,6,0
RI,Burrillville,NA,2014,7,0
RI,Burrillville,NA,2015,0,0
RI,Burrillville,02826,2005,15,5
RI,Burrillville,02826,2006,16,2
RI,Burrillville,02826,2007,22,1
RI,Burrillville,02826,2008,21,1
RI,Burrillville,02826,2009,16,1
RI,Burrillville,02826,2010,14,1
RI,Burrillville,02826,2011,20,3
RI,Burrillville,02826,2012,11,0
RI,Burrillville,02826,2013,14,0
RI,Burrillville,02826,2014,9,0
RI,Burrillville,02826,2015,12,0
RI,Burrillville,02830,2005,155,28
RI,Burrillville,02830,2006,157,19
RI,Burrillville,02830,2007,143,19
RI,Burrillville,02830,2008,139,17
RI,Burrillville,02830,2009,107,8
RI,Burrillville,02830,2010,106,7
RI,Burrillville,02830,2011,99,6
RI,Burrillville,02830,2012,103,4
RI,Burrillville,02830,2013,103,4
RI,Burrillville,02830,2014,105,3
RI,Burrillville,02830,2015,125,8
RI,Burrillville,02839,2005,39,8
RI,Burrillville,02839,2006,33,10
RI,Burrillville,02839,2007,41,5
RI,Burrillville,02839,2008,45,4
RI,Burrillville,02839,2009,32,2
RI,Burrillville,02839,2010,31,3
RI,Burrillville,02839,2011,31,0
RI,Burrillville,02839,2012,39,3
RI,Burrillville,02839,2013,34,1
RI,Burrillville,02839,2014,32,1
RI,Burrillville,02839,2015,40,2
RI,Burrillville,02858,2005,9,1
RI,Burrillville,02858,2006,16,0
RI,Burrillville,02858,2007,14,1
RI,Burrillville,02858,2008,12,0
RI,Burrillville,02858,2009,17,0
RI,Burrillville,02858,2010,12,0
RI,Burrillville,02858,2011,10,0
RI,Burrillville,02858,2012,18,1
RI,Burrillville,02858,2013,11,2
RI,Burrillville,02858,2014,10,0
RI,Burrillville,02858,2015,15,1
RI,Burrillville,02859,2005,205,44
RI,Burrillville,02859,2006,197,30
RI,Burrillville,02859,2007,171,17
RI,Burrillville,02859,2008,165,21
RI,Burrillville,02859,2009,146,24
RI,Burrillville,02859,2010,127,13
RI,Burrillville,02859,2011,135,16
RI,Burrillville,02859,2012,113,7
RI,Burrillville,02859,2013,115,9
RI,Burrillville,02859,2014,105,6
RI,Burrillville,02859,2015,121,5
RI,Central Falls,NA,2005,12,4
RI,Central Falls,NA,2006,6,1
RI,Central Falls,NA,2007,18,6
RI,Central Falls,NA,2008,10,0
RI,Central Falls,NA,2009,1,0
RI,Central Falls,NA,2010,7,1
RI,Central Falls,NA,2011,7,2
RI,Central Falls,NA,2012,6,1
RI,Central Falls,NA,2013,6,0
RI,Central Falls,NA,2014,10,0
RI,Central Falls,NA,2015,5,0
RI,Central Falls,02863,2005,1184,351
RI,Central Falls,02863,2006,1128,278
RI,Central Falls,02863,2007,1076,191
