year,route_id,distance,passengers_daily,airfare,market_share
1997,1,528,152,106,0.8385999798774719
1998,1,528,265,106,0.8133000135421753
1999,1,528,336,113,0.826200008392334
2000,1,528,298,123,0.8612000346183777
1997,2,861,282,104,0.579800009727478
1998,2,861,178,105,0.5816999673843384
1999,2,861,204,115,0.7319000363349915
2000,2,861,190,129,0.5386000275611877
1997,3,852,241,207,0.8180000185966492
1998,3,852,253,188,0.8172000050544739
1999,3,852,244,229,0.7998000383377075
2000,3,852,244,247,0.7096999883651733
1997,4,724,233,243,0.4604000151157379
1998,4,724,248,226,0.46140000224113464
1999,4,724,224,229,0.4334000051021576
2000,4,724,339,176,0.3716000020503998
1997,5,1073,396,119,0.4571000039577484
1998,5,1073,529,105,0.5631999969482422
1999,5,1073,494,121,0.5008000135421753
2000,5,1073,710,109,0.5196999907493591
1997,6,318,237,181,0.9100000262260437
1998,6,318,213,197,0.9068000316619873
1999,6,318,209,190,0.928600013256073
2000,6,318,163,171,0.9693000316619873
1997,7,1270,168,200,0.6694999933242798
1998,7,1270,185,218,0.7081999778747559
1999,7,1270,178,229,0.6714000105857849
2000,7,1270,197,220,0.6231000423431396
1997,8,614,173,134,0.5979000329971313
1998,8,614,157,153,0.6349999904632568
1999,8,614,176,145,0.5599000453948975
2000,8,614,192,161,0.6419999599456787
1997,9,1673,200,149,0.2012999951839447
1998,9,1673,194,155,0.20639999210834503
1999,9,1673,214,162,0.21969999372959137
2000,9,1673,310,152,0.2847000062465668
1997,10,1976,171,271,0.2443000078201294
1998,10,1976,155,242,0.25679999589920044
1999,10,1976,173,221,0.28450000286102295
2000,10,1976,187,214,0.3000999987125397
1997,11,1118,364,181,0.4522000253200531
1998,11,1118,374,182,0.48820000886917114
1999,11,1118,368,183,0.41130000352859497
2000,11,1118,383,188,0.4847000241279602
1997,12,580,1244,97,0.6729000210762024
1998,12,580,962,109,0.6530000567436218
1999,12,580,980,110,0.6653000116348267
2000,12,580,954,117,0.6883000135421753
1997,13,349,400,136,0.8252999782562256
1998,13,349,353,186,0.7903000116348267
1999,13,349,349,184,0.7998999953269958
2000,13,349,319,198,0.7191999554634094
1997,14,223,278,68,0.7919999957084656
1998,14,223,255,71,0.778700053691864
1999,14,223,255,72,0.8664000034332275
2000,14,223,241,75,0.846500039100647
1997,15,745,437,132,0.4941999912261963
1998,15,745,385,148,0.47450000047683716
1999,15,745,440,137,0.4952000081539154
2000,15,745,443,151,0.49310001730918884
1997,16,719,197,127,0.5813000202178955
1998,16,719,184,146,0.6698000431060791
1999,16,719,187,135,0.7470999956130981
2000,16,719,178,149,0.8061000108718872
1997,17,487,761,83,0.7116999626159668
1998,17,487,602,110,0.9228000044822693
1999,17,487,597,111,0.9233999848365784
2000,17,487,678,105,0.9279000163078308
1997,18,677,935,103,0.8149999976158142
1998,18,677,886,112,0.8047000169754028
1999,18,677,842,120,0.8727999925613403
2000,18,677,806,131,0.8754000067710876
1997,19,982,189,190,0.6841000318527222
1998,19,982,183,186,0.6499999761581421
1999,19,982,182,202,0.5695000290870667
2000,19,982,181,193,0.6575000286102295
1997,20,1817,441,224,0.2793000042438507
1998,20,1817,363,240,0.24700000882148743
1999,20,1817,317,265,0.2345000058412552
2000,20,1817,355,250,0.2947999835014343
1997,21,889,207,128,0.6642000079154968
1998,21,889,300,143,0.8355000019073486
1999,21,889,379,145,0.8801999688148499
2000,21,889,372,154,0.875
1997,22,632,194,108,0.762499988079071
1998,22,632,201,113,0.6855999827384949
1999,22,632,194,124,0.6517999768257141
2000,22,632,178,131,0.6583000421524048
1997,23,1554,200,134,0.5519999861717224
1998,23,1554,198,164,0.4991999864578247
1999,23,1554,194,158,0.4722999930381775
2000,23,1554,197,169,0.5633000135421753
1997,24,328,1492,66,0.8162999749183655
1998,24,328,1362,65,0.8334999680519104
1999,24,328,1449,64,0.8276999592781067
