"tenured","profnumber","minority","age","age2","beautyf2upper","beautyflowerdiv","beautyfupperdiv","beautym2upper","beautymlowerdiv","beautymupperdiv","btystdave","btystdf2u","btystdfl","btystdfu","btystdm2u","btystdml","btystdmu","class1","class2","class3","class4","class5","class6","class7","class8","class9","class10","class11","class12","class13","class14","class15","class16","class17","class18","class19","class20","class21","class22","class23","class24","class25","class26","class27","class28","class29","class30","courseevaluation","didevaluation","female","formal","fulldept","lower","multipleclass","nonenglish","onecredit","percentevaluating","profevaluation","students","tenuretrack","blkandwhite","btystdvariance"
0,1,1,36,1296,6,5,7,6,2,4,0.201566636562347,0.289351940155029,0.458001792430878,0.875813901424408,0.681715250015259,-0.900064945220947,-0.195418149232864,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.30000019073486,24,1,0,1,0,1,0,0,55.8139533996582,4.69999980926514,43,1,0,2.12980628013611
1,2,0,59,3481,2,4,4,3,2,3,-0.826081335544586,-1.61935555934906,-0.0735065415501595,-0.57700651884079,-1.13190388679504,-0.900064945220947,-0.654650688171387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,17,0,0,1,0,0,0,0,85,4.59999990463257,20,1,0,1.38608050346375
1,3,0,51,2601,5,5,2,3,2,3,-0.660332679748535,-0.187824934720993,0.458001792430878,-1.54555344581604,-1.13190388679504,-0.900064945220947,-0.654650688171387,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.70000004768372,55,0,0,1,0,1,0,0,100,4.09999990463257,55,1,0,2.53743457794189
1,4,0,40,1600,4,2,5,2,3,3,-0.766312479972839,-0.665001809597015,-1.13652324676514,-0.0927330404520035,-1.73644363880157,-0.31252259016037,-0.654650688171387,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.30000019073486,40,1,0,1,0,1,0,0,86.9565200805664,4.5,46,1,0,1.76057720184326
0,5,0,31,961,9,7,9,6,7,6,1.42144513130188,1.72088253498077,1.52101850509644,1.84436082839966,0.681715250015259,2.03764677047729,0.723046958446503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.40000009536743,42,1,0,1,0,0,0,0,87.5,4.80000019073486,48,1,0,1.69310009479523
1,6,0,62,3844,5,6,6,6,5,5,0.500219583511353,-0.187824934720993,0.989510178565979,0.39154040813446,0.681715250015259,0.862562119960785,0.263814389705658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.19999980926514,182,0,1,1,0,0,0,0,64.5390090942383,4.40000009536743,282,1,0,0.944741904735565
0,7,0,33,1089,5,4,4,4,4,4,-0.214350089430809,-0.187824934720993,-0.0735065415501595,-0.57700651884079,-0.527364194393158,0.275019764900208,-0.195418149232864,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,33,1,0,1,0,1,0,0,80.4878082275391,4.40000009536743,41,1,0,0.489879280328751
1,8,0,51,2601,6,4,6,3,2,3,-0.346538960933685,0.289351940155029,-0.0735065415501595,0.39154040813446,-1.13190388679504,-0.900064945220947,-0.654650688171387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.40000009536743,25,1,0,1,0,0,0,0,60.9756088256836,3.40000009536743,41,1,0,2.04178690910339
0,9,0,33,1089,5,3,7,5,5,3,0.0613435134291649,-0.187824934720993,-0.605014860630035,0.875813901424408,0.0771755427122116,0.862562119960785,-0.654650688171387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,48,1,0,1,0,0,0,0,80,4.80000019073486,60,1,0,2.32433009147644
0,10,0,47,2209,6,5,7,6,3,6,0.452567875385284,0.289351940155029,0.458001792430878,0.875813901424408,0.681715250015259,-0.31252259016037,0.723046958446503,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.90000009536743,16,0,0,1,0,1,0,0,84.2105255126953,4,19,0,0,0.91683703660965
0,11,1,35,1225,4,5,7,7,2,4,0.143264293670654,-0.665001809597015,0.458001792430878,0.875813901424408,1.28625500202179,-0.900064945220947,-0.195418149232864,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.09999990463257,18,0,0,1,0,1,1,0,72,3.59999990463257,25,1,0,3.79865217208862
0,12,0,37,1369,5,4,5,4,3,5,-0.155022814869881,-0.187824934720993,-0.0735065415501595,-0.0927330404520035,-0.527364194393158,-0.31252259016037,0.263814389705658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,30,0,0,1,0,0,0,0,88.2352905273438,4.09999990463257,34,0,0,0.350469797849655
1,13,0,42,1764,5,4,7,5,4,4,0.128543257713318,-0.187824934720993,-0.0735065415501595,0.875813901424408,0.0771755427122116,0.275019764900208,-0.195418149232864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.79999995231628,28,0,0,1,0,0,0,0,70,4.09999990463257,40,1,0,0.828371345996857
