"height","handspan"
73,22.5
65,17
69,21
71,25.5
78,25
68,20
75,20.5
72,24.5
63,18
67,21.5
70,23
64,21
69,20
72,24.5
70,21
67,21
71,24.5
63,19.5
69,22
65,20
73,24
62,20.5
61,17.5
72,24
62,21
74,19.5
70,25
63,18
63,19.5
70,23
74.5,21
65,23
67,19.5
67,22
73,19
68,21
75,22.5
72,18.5
68,20
73,24
73,23
68,19
64,23.5
65,19.5
73,21
69,23
69,22
72,23.5
65,20
66,23
65.5,19.5
68,22
67,20.5
69,22.5
68,23
65,20
72,24
71,23
70,23
72,26
72,23
71,23
69,24
65,18
66,22
72,21.5
69,22.5
70,24
60,18
71,22
71,21
64,20.5
75,23
64,21
70,23
63,18.5
62,19
68,24
67,22
68,21.5
62,18
68,18
65,19.5
72,22.5
60,19
62,18.5
65,20
66,22
63,21
70,23
63,18
62,19
65,17
62,19
62,18
67,22
67,21.5
69,23
62,20
71,22.5
70,18
64.5,21
60,17.5
67,22.5
66,19
72,24
68,22.5
71,23
68,20.5
61,16.5
73,24
69,22
66,19
71,22.5
70,22.5
66,17
70,21
64.5,22
68,19
67,18.5
73,22
62,21
66,19
65,22
71,24.5
72,22.5
61,20.5
73,22
69,24
70,20
70,22
68,18.5
73,25.5
66,21.5
68,21
66,19.5
71,25
76,28
71,21
64.5,19.5
58,21
67,20
65.75,20
78,27
69,23
68,21
72,24.5
63,17
69,23
63,18
71,25
74,23
69,21.5
72,25
74,23
75,25
64,20
73,24
63,21.5
61,22
67,20
66,20
64,21.5
63,18.5
66,21
65,20
64,19
69,22.5
72,22.5
67,18
61,18.5
65,19
64,20.5
68,20.5
63,20
71,21
70,23.5
64,20
67,20.5
71,21
66,20.5
61,19.5
74,21
69,21
71,23
72,25
68,24.5
65,18
75,20.5
71,23
72,21
69,21
67,20
67,21
67,20
65,23
66,21
74,23
64,20.5
68,21.5
67,22
68,19
67,21
63,18
60,19
71,23
74,22.5
67,20.5
63,18
71,23
70,19.5
65,22
75,25
66,19
72,23
72,24.5
63,19.5
61,19
70,23
68,24
64.5,19
70,21
71,23
71,23
67,20
73,24.5
71,23
78,24
74,24
68,22
77,27
70,22
63,19.5
72,22.5
68,20
71,23
68,21.5
62,20
63.5,23
71,25
64,20.5
72,23
75,22
68,21
67,19
72,21.5
68,21
60,19.5
78,24
69,23
63,18.5
70,22
74,25.5
75,21
67,19.5
60,18
68,24
65,19.5
78,24.5
63,23
73,22.5
73,25.5
61,18.5
63,20
70,23
66,19
63,21
71,20
74,22.5
71,25.5
66,18
65,22
65,21.5
70,20.5
66,21
69,21.5
67,20
70,22.5
63,21.5
65,22
67,21.5
74,23
66,20
71,24
70,21
71,20
65,21
73,23
66,21
67,20.5
72,21.5
67,19
60,17.5
68,22.5
64,21
71,23
64,21
69,22
69,21
62,21.5
69,23
69,24
65,19.5
66,21
77,24.5
66,19
73,26.5
71,22
64,18
67,22
68,22
71,25
64,21.5
71,25.5
66,17
67,20
71,19
73,24
72,22.5
71,23
71,23
70,23
62,21.5
76,28
66,19
68,21.5
